id,first sentence,last sentence
0,"Actus Primus Scoena Prima","But I will rule both her the King and Realme Exit"
1,"with the death of the Good Duke Hvmfrey","And more such dayes as these to vs befall"
2,"with the death of the Duke of Yorke","For heere I hope begins our lasting ioy"
3,"","Than this of Juliet and her Romeo"
4,"","And we'll strive to please you every day"
5,"Actus primus Scena prima","Let your Indulgence set me free"
6,"THE STATIONER TO THE READER","Triumphing over Death and Chance and thee O Time"
7,"","none can participate but greatest and wisest men"
8,"Of Man’s first disobedience and the fruit","Through Eden took their solitary way"
9,"I, who erewhile the happy Garden sung","Home to his mother’s house private returned"
10,"GENTLEMEN, The liberty which I take in addressing","EVELINA. THE END"
11,"Unable to relieve herself from this perplexity","her engagement was her final resolution"
12,"That Goodness inspires a confidence","what so little to be judged by his fellow?"
13,"The final purposes for which man is ordained","failure, and ever alive to hope"
14,"The description of the family of Wakefield; in which a kindred","my former submission in adversity"
15,"Enter MR. WOODWARD, dressed in black, and","mistaken in the wife. [Exeunt Omnes.]"
16,"I am sensible that the friendship between"," save the badness of the rest."
17,"For months the great pleasure excursion to Europe","then vanished and been forgotten!"
18,"YOU don't know about me without you have read"," and I can't stand it. I been there before"
19,"TOM!","snaked me in out of the wet."
20,"My father was a St. Bernard, my mother","go the beasts that perish"
21,"In reprinting this story for a new edition I am","my thanks accordingly."
22,"One evening of late summer, before the nineteenth","of pain"
23,"On an evening in the latter part of May a ","strength they arose, joined hands again, and went on"
24,"The schoolmaster was leaving the village, and everybody ","and never will again till she’s as he is now!"
25,"The family of Dashwood had long been settled","THE END"
26,"It is a truth universally acknowledged, that a single man","means of uniting them"
27,"Emma Woodhouse, handsome, clever, and rich, with","in the perfect happiness of the union"
28,"A gentleman and a lady travelling from Tunbridge towards","constantly occupied by Sir Harry Denham"
29,"THE rue du Coq d'Or, Paris, seven in the morning","nor enjoy a meal at a smart restaurant. That is a beginning"
30,"In the Lenin Barracks in Barcelona, the day","out of it by the roar of bombs"
31,"Mr. Jones, of the Manor Farm, had locked the hen-houses","but already it was impossible to say which was which"
32,"It was a bright cold day in April, and","He had won the victory over himself. He loved Big Brother"